Time (s);Distance (m);Algorithm;Map;Environment;Result;Error
102.387;18.0145;dijkstra;complete;1;Goal reached.;
103.354;18.0774;dijkstra;complete;1;Goal reached.;
101.048;17.7268;dijkstra;complete;1;Goal reached.;
103.352;17.8284;dijkstra;complete;1;Goal reached.;
102.036;17.9402;dijkstra;complete;1;Goal reached.;
102.86;18.0105;dijkstra;complete;1;Goal reached.;
101.8;17.9581;dijkstra;complete;1;Goal reached.;
102.175;17.9954;dijkstra;complete;1;Goal reached.;
103.104;17.832;dijkstra;complete;1;Goal reached.;
102.003;17.8633;dijkstra;complete;1;Goal reached.;
101.952;17.7633;dijkstra;complete;1;Goal reached.;
103.02;17.957;dijkstra;complete;1;Goal reached.;
103.297;17.9922;dijkstra;complete;1;Goal reached.;
104.332;18.0311;dijkstra;complete;1;Goal reached.;
101.775;17.9529;dijkstra;complete;1;Goal reached.;
103.494;17.9629;dijkstra;complete;1;Goal reached.;
103.008;17.9107;dijkstra;complete;1;Goal reached.;
102.464;17.9197;dijkstra;complete;1;Goal reached.;
103.869;18.0237;dijkstra;complete;1;Goal reached.;
103.846;17.9047;dijkstra;complete;1;Goal reached.;
95.436;16.4894;dijkstra;complete;2;Goal reached.;
95.404;16.6493;dijkstra;complete;2;Goal reached.;
96.579;17.0139;dijkstra;complete;2;Goal reached.;
93.854;16.5191;dijkstra;complete;2;Goal reached.;
94.221;16.5387;dijkstra;complete;2;Goal reached.;
100.352;17.4022;dijkstra;complete;2;Goal reached.;
97.282;17.1337;dijkstra;complete;2;Goal reached.;
92.89;16.4033;dijkstra;complete;2;Goal reached.;
162.243;30.6819;dijkstra;complete;2;Goal reached.;
101.198;17.8518;dijkstra;complete;2;Goal reached.;
94.525;16.5226;dijkstra;complete;2;Goal reached.;
96.686;16.6973;dijkstra;complete;2;Goal reached.;
94.976;16.5503;dijkstra;complete;2;Goal reached.;
94.011;16.4852;dijkstra;complete;2;Goal reached.;
94.079;16.4967;dijkstra;complete;2;Goal reached.;
107.109;18.9215;dijkstra;complete;2;Goal reached.;
94.024;16.5688;dijkstra;complete;2;Goal reached.;
99.59;17.566;dijkstra;complete;2;Goal reached.;
97.565;17.2756;dijkstra;complete;2;Goal reached.;
95.276;16.5103;dijkstra;complete;2;Goal reached.;
99.895;17.5815;dijkstra;complete;3;Goal reached.;
98.175;17.4169;dijkstra;complete;3;Goal reached.;
94.11;16.5812;dijkstra;complete;3;Goal reached.;
93.248;16.3868;dijkstra;complete;3;Goal reached.;
97.31;16.7305;dijkstra;complete;3;Goal reached.;
96.301;16.5866;dijkstra;complete;3;Goal reached.;
98.404;16.5275;dijkstra;complete;3;Goal reached.;
101.187;17.3487;dijkstra;complete;3;Goal reached.;
108.183;18.6579;dijkstra;complete;3;Goal reached.;
106.175;18.6137;dijkstra;complete;3;Goal reached.;
100.166;17.7505;dijkstra;complete;3;Goal reached.;
92.964;16.3312;dijkstra;complete;3;Goal reached.;
100.752;17.5161;dijkstra;complete;3;Goal reached.;
99.427;17.5222;dijkstra;complete;3;Goal reached.;
96.84;17.0092;dijkstra;complete;3;Goal reached.;
99.657;17.4906;dijkstra;complete;3;Goal reached.;
94.239;16.6038;dijkstra;complete;3;Goal reached.;
99.478;17.5323;dijkstra;complete;3;Goal reached.;
96.931;17.0179;dijkstra;complete;3;Goal reached.;
99.874;17.5263;dijkstra;complete;3;Goal reached.;
90.26;15.8658;dijkstra;complete;static;Goal reached.;
89.239;15.8739;dijkstra;complete;static;Goal reached.;
89.451;15.8657;dijkstra;complete;static;Goal reached.;
89.66;15.8616;dijkstra;complete;static;Goal reached.;
89.503;15.8778;dijkstra;complete;static;Goal reached.;
89.28;15.8347;dijkstra;complete;static;Goal reached.;
89.059;15.8816;dijkstra;complete;static;Goal reached.;
90.088;15.8658;dijkstra;complete;static;Goal reached.;
89.479;15.8642;dijkstra;complete;static;Goal reached.;
90.123;15.8713;dijkstra;complete;static;Goal reached.;
89.445;15.9012;dijkstra;complete;static;Goal reached.;
88.817;15.8661;dijkstra;complete;static;Goal reached.;
89.056;15.8763;dijkstra;complete;static;Goal reached.;
90.383;15.8813;dijkstra;complete;static;Goal reached.;
90.644;15.8561;dijkstra;complete;static;Goal reached.;
89.643;15.8658;dijkstra;complete;static;Goal reached.;
90.316;15.8776;dijkstra;complete;static;Goal reached.;
89.215;15.8734;dijkstra;complete;static;Goal reached.;
90.571;15.8578;dijkstra;complete;static;Goal reached.;
88.961;15.855;dijkstra;complete;static;Goal reached.;
105.253;18.351;dijkstra;mapless;1;Goal reached.;
106.505;18.83;dijkstra;mapless;1;Goal reached.;
113.248;19.5214;dijkstra;mapless;1;Goal reached.;
198.841;24.6065;dijkstra;mapless;1;Failed to find a valid plan. Even after executing recovery behaviors.;Error
102.744;17.9952;dijkstra;mapless;1;Goal reached.;
112.46;19.5067;dijkstra;mapless;1;Goal reached.;
114.101;19.3639;dijkstra;mapless;1;Goal reached.;
109.31;19.307;dijkstra;mapless;1;Goal reached.;
108.029;18.8097;dijkstra;mapless;1;Goal reached.;
108.417;18.5227;dijkstra;mapless;1;Goal reached.;
110.478;19.2732;dijkstra;mapless;1;Goal reached.;
108.791;18.6507;dijkstra;mapless;1;Goal reached.;
106.956;18.7638;dijkstra;mapless;1;Goal reached.;
103.89;18.2;dijkstra;mapless;1;Goal reached.;
113.922;19.7388;dijkstra;mapless;1;Goal reached.;
104.932;18.4401;dijkstra;mapless;1;Goal reached.;
115.256;19.5657;dijkstra;mapless;1;Goal reached.;
105.589;18.7144;dijkstra;mapless;1;Goal reached.;
104.8;18.4071;dijkstra;mapless;1;Goal reached.;
105.739;18.468;dijkstra;mapless;1;Goal reached.;
100.016;17.2905;dijkstra;mapless;2;Goal reached.;
101.678;17.2227;dijkstra;mapless;2;Goal reached.;
108.104;18.0873;dijkstra;mapless;2;Goal reached.;
100.693;17.5373;dijkstra;mapless;2;Goal reached.;
107.84;18.1724;dijkstra;mapless;2;Goal reached.;
129.211;20.9301;dijkstra;mapless;2;Goal reached.;
156.419;19.2041;dijkstra;mapless;2;Failed to find a valid plan. Even after executing recovery behaviors.;Error
96.383;16.8784;dijkstra;mapless;2;Goal reached.;
95.53;16.6644;dijkstra;mapless;2;Goal reached.;
106.638;18.3293;dijkstra;mapless;2;Goal reached.;
106.813;18.4546;dijkstra;mapless;2;Goal reached.;
105.71;18.3746;dijkstra;mapless;2;Goal reached.;
103;18.1184;dijkstra;mapless;2;Goal reached.;
111.878;18.6348;dijkstra;mapless;2;Goal reached.;
104.313;18.2882;dijkstra;mapless;2;Goal reached.;
107.365;18.9006;dijkstra;mapless;2;Goal reached.;
105.211;18.5736;dijkstra;mapless;2;Goal reached.;
105.317;18.6106;dijkstra;mapless;2;Goal reached.;
109.948;18.8051;dijkstra;mapless;2;Goal reached.;
104.775;18.1442;dijkstra;mapless;2;Goal reached.;
104.688;17.9459;dijkstra;mapless;3;Goal reached.;
105.509;18.0743;dijkstra;mapless;3;Goal reached.;
103.259;17.5441;dijkstra;mapless;3;Goal reached.;
